Date,Segment,Predicted_Subscribers,Predicted_ARPU,Hybrid_Predicted_MRR,Actual_MRR
2020-08-01,Strategic,19.0,545.24,11877.36,7451.77
2020-09-01,Strategic,22.0,545.24,12282.93,15507.74
2020-10-01,Strategic,25.0,545.24,14924.87,12637.68
2020-11-01,Strategic,33.0,545.24,18161.04,20994.49
2020-12-01,Strategic,40.0,545.24,16924.16,20573.56
2021-01-01,Strategic,27.0,545.24,13131.0,3382.46
2021-02-01,Strategic,25.0,545.24,11968.96,2565.26
2021-03-01,Strategic,27.0,545.24,11167.04,16332.02
2021-04-01,Strategic,15.0,545.24,9264.03,4121.04
2021-05-01,Strategic,16.0,545.24,9112.18,5454.94
2021-06-01,Strategic,17.0,545.24,8767.25,9404.09
2021-07-01,Strategic,16.0,545.24,9103.02,7191.7
2021-08-01,Strategic,19.0,545.24,10455.45,11455.76
2021-09-01,Strategic,25.0,545.24,14346.82,16604.56
2021-10-01,Strategic,36.0,545.24,15531.07,8646.37
2021-11-01,Strategic,32.0,545.24,20827.18,27299.64
2021-12-01,Strategic,45.0,545.24,16460.97,16299.46
2022-01-01,Strategic,16.0,545.24,10210.53,9485.12
2022-02-01,Strategic,12.0,545.24,5974.57,2866.88
2022-03-01,Strategic,11.0,545.24,10190.13,14226.47
2022-04-01,Strategic,16.0,545.24,8725.24,16065.49
2022-05-01,Strategic,18.0,545.24,9290.17,18564.15
2022-06-01,Strategic,18.0,545.24,10458.83,7788.49
2022-07-01,Strategic,21.0,545.24,11369.18,12305.79
2022-08-01,Strategic,25.0,545.24,14318.75,13806.6
2022-09-01,Strategic,32.0,545.24,18037.56,17802.81
2022-10-01,Strategic,41.0,545.24,18844.86,28904.94
2022-11-01,Strategic,31.0,545.24,23320.35,29718.78
2022-12-01,Strategic,49.0,545.24,20370.18,35407.42
2023-01-01,Strategic,29.0,545.24,15072.72,12384.64
2023-02-01,Strategic,25.0,545.24,13040.98,7959.26
2023-03-01,Strategic,27.0,545.24,14585.31,13207.36
2023-04-01,Strategic,20.0,545.24,14840.62,17284.49
2023-05-01,Strategic,24.0,545.24,15636.07,15125.63
2023-06-01,Strategic,33.0,545.24,15113.64,18590.1
2023-07-01,Strategic,35.0,545.24,16199.4,17402.32
2023-08-01,Strategic,28.0,545.24,17762.4,25187.36
2023-09-01,Strategic,32.0,545.24,19504.18,24620.15
2023-10-01,Strategic,41.0,545.24,25394.41,24562.74
2023-11-01,Strategic,42.0,545.24,27966.35,45066.78
2023-12-01,Strategic,51.0,545.24,28562.86,20620.41
